category,A,B,X,sim_AB,sim_AX,sim_BX,separation,A_path,B_path,X_path
animal,bilby.jpg,mole.jpg,tapir.jpg,0.7398,0.4033,0.4467,0.2931,/content/drive/MyDrive/pics_stimuli/animal/bilby.jpg,/content/drive/MyDrive/pics_stimuli/animal/mole.jpg,/content/drive/MyDrive/pics_stimuli/animal/tapir.jpg
animal,Zebra_duiker.png,saiga.png,box_turtle.jpg,0.6691,0.38,0.3379,0.2891,/content/drive/MyDrive/pics_stimuli/animal/Zebra_duiker.png,/content/drive/MyDrive/pics_stimuli/animal/saiga.png,/content/drive/MyDrive/pics_stimuli/animal/box_turtle.jpg
animal,quokka.png,tarseier.webp,pangolin.jpg,0.6349,0.4091,0.4157,0.2192,/content/drive/MyDrive/pics_stimuli/animal/quokka.png,/content/drive/MyDrive/pics_stimuli/animal/tarseier.webp,/content/drive/MyDrive/pics_stimuli/animal/pangolin.jpg
fruit,ackee.png,mangosteen.png,salak.jpg,0.6653,0.3903,0.3879,0.275,/content/drive/MyDrive/pics_stimuli/fruit/ackee.png,/content/drive/MyDrive/pics_stimuli/fruit/mangosteen.png,/content/drive/MyDrive/pics_stimuli/fruit/salak.jpg
fruit,buddhas_hand.jpg,starfruit.jpeg,rambutan.png,0.7383,0.4616,0.471,0.2673,/content/drive/MyDrive/pics_stimuli/fruit/buddhas_hand.jpg,/content/drive/MyDrive/pics_stimuli/fruit/starfruit.jpeg,/content/drive/MyDrive/pics_stimuli/fruit/rambutan.png
fruit,hala_fruit.jpg,kiwano.png,miracle_berry.jpg,0.6674,0.4042,0.3836,0.2632,/content/drive/MyDrive/pics_stimuli/fruit/hala_fruit.jpg,/content/drive/MyDrive/pics_stimuli/fruit/kiwano.png,/content/drive/MyDrive/pics_stimuli/fruit/miracle_berry.jpg
instruments,Erhu.png,khaen.jpeg,handpan.webp,0.6736,0.2837,0.2559,0.3899,/content/drive/MyDrive/pics_stimuli/instruments/Erhu.png,/content/drive/MyDrive/pics_stimuli/instruments/khaen.jpeg,/content/drive/MyDrive/pics_stimuli/instruments/handpan.webp
instruments,kalimba.png,nyckelharpa.jpeg,didgeridoo.png,0.6447,0.4152,0.372,0.2296,/content/drive/MyDrive/pics_stimuli/instruments/kalimba.png,/content/drive/MyDrive/pics_stimuli/instruments/nyckelharpa.jpeg,/content/drive/MyDrive/pics_stimuli/instruments/didgeridoo.png
instruments,balalaika.jpeg,dulcimer.png,tongue drum.jpeg,0.7082,0.4848,0.4947,0.2134,/content/drive/MyDrive/pics_stimuli/instruments/balalaika.jpeg,/content/drive/MyDrive/pics_stimuli/instruments/dulcimer.png,/content/drive/MyDrive/pics_stimuli/instruments/tongue drum.jpeg
vehicles,japanese_flying_car.png,p791.png,reliant_robin.png,0.6669,0.3226,0.3148,0.3443,/content/drive/MyDrive/pics_stimuli/vehicles/japanese_flying_car.png,/content/drive/MyDrive/pics_stimuli/vehicles/p791.png,/content/drive/MyDrive/pics_stimuli/vehicles/reliant_robin.png
vehicles,flying_car.png,white_knight_2.png,pea_car.png,0.6482,0.3584,0.3533,0.2898,/content/drive/MyDrive/pics_stimuli/vehicles/flying_car.png,/content/drive/MyDrive/pics_stimuli/vehicles/white_knight_2.png,/content/drive/MyDrive/pics_stimuli/vehicles/pea_car.png
vehicles,aerodyne.png,sikorsky_x.png,altima_treads.png,0.6301,0.3529,0.3452,0.2772,/content/drive/MyDrive/pics_stimuli/vehicles/aerodyne.png,/content/drive/MyDrive/pics_stimuli/vehicles/sikorsky_x.png,/content/drive/MyDrive/pics_stimuli/vehicles/altima_treads.png
